riskygain,riskyloss,certain
2,-4,0
2,-3.75,0
2,-3.5,0
2,-3.25,0
2,-3,0
2,-2.75,0
2,-2.5,0
2,-2.25,0
2,-2,0
2,-1.75,0
2,-1.5,0
2,-1.25,0
2,-1,0
2,-0.75,0
2,-0.5,0
4,-8,0
4,-7.5,0
4,-7,0
4,-6.5,0
4,-6,0
4,-5.5,0
4,-5,0
4,-4.5,0
4,-4,0
4,-3.5,0
4,-3,0
4,-2.5,0
4,-2,0
4,-1.5,0
4,-1,0
5,-10,0
5,-9.38,0
5,-8.75,0
5,-8.13,0
5,-7.5,0
5,-6.88,0
5,-6.25,0
5,-5.63,0
5,-5,0
5,-4.38,0
5,-3.75,0
5,-3.13,0
5,-2.5,0
5,-1.88,0
5,-1.25,0
6,-12,0
6,-11.25,0
6,-10.5,0
6,-9.75,0
6,-9,0
6,-8.25,0
6,-7.5,0
6,-6.75,0
6,-6,0
6,-5.25,0
6,-4.5,0
6,-3.75,0
6,-3,0
6,-2.25,0
6,-1.5,0
8,-16,0
8,-15,0
8,-14,0
8,-13,0
8,-12,0
8,-11,0
8,-10,0
8,-9,0
8,-8,0
8,-7,0
8,-6,0
8,-5,0
8,-4,0
8,-3,0
8,-2,0
9,-18,0
9,-16.88,0
9,-15.75,0
9,-14.63,0
9,-13.5,0
9,-12.38,0
9,-11.25,0
9,-10.13,0
9,-9,0
9,-7.88,0
9,-6.75,0
9,-5.63,0
9,-4.5,0
9,-3.38,0
9,-2.25,0
10,-20,0
10,-18.75,0
10,-17.5,0
10,-16.25,0
10,-15,0
10,-13.75,0
10,-12.5,0
10,-11.25,0
10,-10,0
10,-8.75,0
10,-7.5,0
10,-6.25,0
10,-5,0
10,-3.75,0
10,-2.5,0
12,-24,0
12,-22.5,0
12,-21,0
12,-19.5,0
12,-18,0
12,-16.5,0
12,-15,0
12,-13.5,0
12,-12,0
12,-10.5,0
12,-9,0
12,-7.5,0
12,-6,0
12,-4.5,0
12,-3,0
2,0,1
3.25,0,1
4,0,2
4,0,2.25
5,0,2
5,0,3
7,0,3
8,0,3
7,0,4
8,0,4.25
12,0,4
10,0,6
12,0,5
13,0,5
12,0,6
11,0,6
13,0,6
19,0,8
17,0,9
25,0,9
17,0,10
22,0,10
23,0,10
25,0,10
26,0,10
24,0,12
26,0,12
30,0,12
22,0,13
28,0,13
