riskygain,riskyloss,certainalternative
2,-4,0
2,-2.222222222,0
2,-1.818181818,0
2,-1.538461538,0
2,-1.333333333,0
2,-1.176470588,0
2,-1.052631579,0
2,-0.952380952,0
2,-0.869565217,0
2,-0.8,0
2,-0.64516129,0
2,-0.540540541,0
2,-0.434782609,0
2,-0.344827586,0
2,-0.285714286,0
7,-14,0
7,-7.777777778,0
7,-6.363636364,0
7,-5.384615385,0
7,-4.666666667,0
7,-4.117647059,0
7,-3.684210526,0
7,-3.333333333,0
7,-3.043478261,0
7,-2.8,0
7,-2.258064516,0
7,-1.891891892,0
7,-1.52173913,0
7,-1.206896552,0
7,-1,0
10,-20,0
10,-11.11111111,0
10,-9.090909091,0
10,-7.692307692,0
10,-6.666666667,0
10,-5.882352941,0
10,-5.263157895,0
10,-4.761904762,0
10,-4.347826087,0
10,-4,0
10,-3.225806452,0
10,-2.702702703,0
10,-2.173913043,0
10,-1.724137931,0
10,-1.428571429,0
5,-7.142857143,0
5,-5,0
5,-4.166666667,0
5,-3.571428571,0
5,-3.125,0
5,-2.777777778,0
5,-2.5,0
5,-2.272727273,0
5,-2.083333333,0
5,-1.785714286,0
5,-1.470588235,0
5,-1.25,0
5,-0.961538462,0
5,-0.78125,0
5,-0.5,0
8,-11.42857143,0
8,-8,0
8,-6.666666667,0
8,-5.714285714,0
8,-5,0
8,-4.444444444,0
8,-4,0
8,-3.636363636,0
8,-3.333333333,0
8,-2.857142857,0
8,-2.352941176,0
8,-2,0
8,-1.538461538,0
8,-1.25,0
8,-0.8,0
12,-17.14285714,0
12,-12,0
12,-10,0
12,-8.571428571,0
12,-7.5,0
12,-6.666666667,0
12,-6,0
12,-5.454545455,0
12,-5,0
12,-4.285714286,0
12,-3.529411765,0
12,-3,0
12,-2.307692308,0
12,-1.875,0
12,-1.2,0
2,0,0.428621991
26.5461704,0,7
5,0,1.544364012
17.14973069,0,6
8,0,3.095423889
10.0793684,0,4
12,0,4.877903448
7.213929307,0,3
16,0,6.799516198
2.305083923,0,1
2,0,0.884865086
15.52778572,0,7
5,0,2.294743002
12.85148884,0,6
8,0,3.796660986
8.297240356,0,4
12,0,5.872743655
6.042156326,0,3
16,0,8.055091573
1.960027351,0,1
2,0,1.033557783
13.37933366,0,7
5,0,2.647254507
11.20338975,0,6
8,0,4.446106088
6.964404506,0,4
12,0,7.097872912
4.939575148,0,3
16,0,9.952565722
1.573082976,0,1
